Date,hashrate90trx
2016/01/01,0
2016/01/02,0
2016/01/03,0
2016/01/04,0
2016/01/05,0
2016/01/06,0
2016/01/07,0
2016/01/08,0
2016/01/09,0
2016/01/10,0
2016/01/11,0
2016/01/12,0
2016/01/13,0
2016/01/14,0
2016/01/15,0
2016/01/16,0
2016/01/17,0
2016/01/18,0
2016/01/19,0
2016/01/20,0
2016/01/21,0
2016/01/22,0
2016/01/23,0
2016/01/24,0
2016/01/25,0
2016/01/26,0
2016/01/27,0
2016/01/28,0
2016/01/29,0
2016/01/30,0
2016/01/31,0
2016/02/01,0
2016/02/02,0
2016/02/03,0
2016/02/04,0
2016/02/05,0
2016/02/06,0
2016/02/07,0
2016/02/08,0
2016/02/09,0
2016/02/10,0
2016/02/11,0
2016/02/12,0
2016/02/13,0
2016/02/14,0
2016/02/15,0
2016/02/16,0
2016/02/17,0
2016/02/18,0
2016/02/19,0
2016/02/20,0
2016/02/21,0
2016/02/22,0
2016/02/23,0
2016/02/24,0
2016/02/25,0
2016/02/26,0
2016/02/27,0
2016/02/28,0
2016/02/29,0
2016/03/01,0
2016/03/02,0
2016/03/03,0
2016/03/04,0
2016/03/05,0
2016/03/06,0
2016/03/07,0
2016/03/08,0
2016/03/09,0
2016/03/10,0
2016/03/11,0
2016/03/12,0
2016/03/13,0
2016/03/14,0
2016/03/15,0
2016/03/16,0
2016/03/17,0
2016/03/18,0
2016/03/19,0
2016/03/20,0
2016/03/21,0
2016/03/22,0
2016/03/23,0
2016/03/24,0
2016/03/25,0
2016/03/26,0
2016/03/27,0
2016/03/28,0
2016/03/29,0
2016/03/30,0
2016/03/31,0
2016/04/01,0
2016/04/02,0
2016/04/03,0
2016/04/04,0
2016/04/05,0
2016/04/06,0
2016/04/07,0
2016/04/08,0
2016/04/09,0
2016/04/10,0
2016/04/11,0
2016/04/12,0
2016/04/13,0
2016/04/14,0
2016/04/15,0
2016/04/16,0
2016/04/17,0
2016/04/18,0
2016/04/19,0
2016/04/20,0
2016/04/21,0
2016/04/22,0
2016/04/23,1.185
2016/04/24,1.191
2016/04/25,1.196
2016/04/26,1.201
2016/04/27,1.206
2016/04/28,1.21
2016/04/29,1.214
2016/04/30,1.219
2016/05/01,1.223
2016/05/02,1.227
2016/05/03,1.231
2016/05/04,1.234
2016/05/05,1.237
2016/05/06,1.24
2016/05/07,1.243
2016/05/08,1.245
2016/05/09,1.247
2016/05/10,1.249
2016/05/11,1.25
2016/05/12,1.251
2016/05/13,1.252
2016/05/14,1.253
2016/05/15,1.254
2016/05/16,1.254
2016/05/17,1.254
2016/05/18,1.254
2016/05/19,1.254
2016/05/20,1.254
2016/05/21,1.254
2016/05/22,1.253
2016/05/23,1.253
2016/05/24,1.252
2016/05/25,1.252
2016/05/26,1.251
2016/05/27,1.25
2016/05/28,1.249
2016/05/29,1.248
2016/05/30,1.247
2016/05/31,1.245
2016/06/01,1.244
2016/06/02,1.242
2016/06/03,1.24
2016/06/04,1.238
2016/06/05,1.236
2016/06/06,1.234
